Date,Open,High,Low,Close,Adj Close,Volume
2022-11-29,447.040009,450.299988,440.079987,442.049988,440.407654,903000
2022-11-30,447.880005,472.390015,441.279999,472.380005,470.624969,2232800
2022-12-01,479.320007,479.320007,456.739990,463.140015,461.419312,1377900
2022-12-02,450.739990,460.230011,450.399994,457.670013,455.969635,1102200
2022-12-05,455.739990,462.690002,448.630005,452.600006,450.918457,1088600
2022-12-06,452.869995,454.100006,438.980011,443.089996,441.443787,925300
2022-12-07,441.190002,452.799988,439.619995,444.279999,442.629364,1112900
2022-12-08,447.869995,457.519989,444.059998,455.000000,453.309540,1237000
2022-12-09,449.489990,457.640015,444.420013,450.200012,448.527405,954200
2022-12-12,460.029999,464.440002,448.950012,464.299988,462.574982,1213800
2022-12-13,485.540009,490.649994,470.040009,475.940002,475.940002,1536900
2022-12-14,474.850006,481.880005,464.230011,468.239990,468.239990,1210800
2022-12-15,456.019989,459.730011,444.029999,446.059998,446.059998,1553100
2022-12-16,442.890015,447.989990,438.130005,443.920013,443.920013,1771500
2022-12-19,442.329987,442.850006,432.100006,438.690002,438.690002,1064500
2022-12-20,433.399994,441.089996,432.649994,437.359985,437.359985,909700
2022-12-21,441.320007,450.809998,440.079987,447.869995,447.869995,946400
2022-12-22,431.899994,433.209991,397.059998,409.109985,409.109985,3175700
2022-12-23,405.619995,412.470001,400.549988,412.119995,412.119995,1054600
2022-12-27,408.000000,411.609985,404.760010,405.459991,405.459991,1112000
2022-12-28,403.429993,407.750000,399.290009,402.799988,402.799988,873100
2022-12-29,409.709991,422.570007,408.100006,420.609985,420.609985,1230900
2022-12-30,412.579987,420.589996,410.839996,420.299988,420.299988,731700
2023-01-03,429.720001,430.100006,407.269989,414.299988,414.299988,1324900
2023-01-04,421.640015,428.269989,416.470001,422.459991,422.459991,1052500
2023-01-05,415.619995,424.579987,412.600006,417.059998,417.059998,983400
2023-01-06,429.140015,447.339996,420.359985,445.269989,445.269989,1481000
2023-01-09,451.200012,463.399994,444.619995,452.429993,452.429993,1407900
2023-01-10,448.079987,458.809998,447.160004,458.609985,458.609985,1067600
2023-01-11,447.700012,464.450012,445.570007,464.299988,464.299988,1542900
2023-01-12,469.989990,475.529999,453.399994,470.040009,470.040009,1429900
2023-01-13,462.299988,474.820007,462.299988,473.670013,473.670013,1202500
2023-01-17,469.910004,473.670013,463.390015,470.989990,470.989990,947400
2023-01-18,477.179993,483.470001,466.519989,466.890015,466.890015,1193900
2023-01-19,462.299988,464.769989,453.649994,453.890015,453.890015,1088700
2023-01-20,459.089996,472.660004,456.820007,472.500000,472.500000,1259900
2023-01-23,474.799988,498.839996,472.390015,490.779999,490.779999,1654500
2023-01-24,485.209991,491.720001,483.869995,487.500000,487.500000,972300
2023-01-25,472.190002,491.390015,467.000000,488.399994,488.399994,1769700
2023-01-26,484.750000,498.660004,474.000000,497.750000,497.750000,2465800
2023-01-27,487.989990,497.929993,482.570007,482.880005,482.880005,1711200
