Date,Open,High,Low,Close,Adj Close,Volume
2022-11-29,531.669983,532.969971,523.650024,528.000000,526.377380,3751000
2022-11-30,529.719971,548.080017,527.479980,547.760010,546.076660,9688900
2022-12-01,552.359985,553.000000,535.799988,536.909973,535.259949,2997800
2022-12-02,532.830017,538.609985,532.440002,536.159973,536.159973,2346200
2022-12-05,531.489990,540.380005,530.880005,535.039978,535.039978,2424800
2022-12-06,534.419983,540.590027,534.239990,539.320007,539.320007,3097700
2022-12-07,540.840027,545.909973,539.630005,542.909973,542.909973,2849100
2022-12-08,544.859985,551.289978,543.780029,547.919983,547.919983,2272300
2022-12-09,547.929993,548.489990,538.869995,539.200012,539.200012,2852400
2022-12-12,541.849976,546.080017,539.280029,545.859985,545.859985,2714100
2022-12-13,550.559998,550.989990,535.099976,538.219971,538.219971,3369700
2022-12-14,541.929993,543.479980,531.570007,538.359985,538.359985,2654600
2022-12-15,533.989990,534.070007,525.469971,527.679993,527.679993,2963800
2022-12-16,525.150024,525.809998,515.719971,523.700012,523.700012,7109100
2022-12-19,524.599976,527.210022,520.929993,523.599976,523.599976,1808100
2022-12-20,526.989990,526.989990,519.700012,520.210022,520.210022,2086100
2022-12-21,523.630005,527.880005,518.099976,527.539978,527.539978,2182000
2022-12-22,526.479980,529.010010,521.630005,527.090027,527.090027,1851600
2022-12-23,524.099976,531.309998,522.900024,531.309998,531.309998,1292300
2022-12-27,533.929993,535.840027,529.849976,531.989990,531.989990,1596700
2022-12-28,535.070007,538.150024,527.729980,528.450012,528.450012,1694200
2022-12-29,532.539978,533.679993,528.859985,529.880005,529.880005,1379700
2022-12-30,530.000000,530.500000,524.840027,530.179993,530.179993,1849300
2023-01-03,525.130005,525.630005,512.159973,518.640015,518.640015,3525600
2023-01-04,518.640015,518.640015,500.600006,504.500000,504.500000,5070400
2023-01-05,501.010010,502.089996,488.500000,489.959991,489.959991,5497100
2023-01-06,491.589996,492.869995,487.540009,490.000000,490.000000,4840700
2023-01-09,492.410004,499.989990,488.540009,490.059998,490.059998,3702800
2023-01-10,488.850006,490.470001,482.679993,486.000000,486.000000,3164000
2023-01-11,485.290009,495.600006,485.000000,493.399994,493.399994,4274200
2023-01-12,490.000000,498.730011,485.220001,495.670013,495.670013,3726800
2023-01-13,486.109985,509.500000,486.000000,489.570007,489.570007,5384300
2023-01-17,491.200012,492.940002,483.779999,485.079987,485.079987,4495600
2023-01-18,488.049988,489.500000,474.750000,476.239990,476.239990,4398200
2023-01-19,477.869995,486.390015,477.390015,484.359985,484.359985,4549600
2023-01-20,485.529999,486.989990,479.000000,486.720001,486.720001,3519500
2023-01-23,486.679993,490.100006,481.390015,485.809998,485.809998,3418700
2023-01-24,500.260010,500.260010,436.510010,491.600006,491.600006,3036300
2023-01-25,489.279999,495.359985,485.730011,492.500000,492.500000,3037300
2023-01-26,492.500000,496.450012,490.579987,492.480011,492.480011,3005000
2023-01-27,493.369995,493.369995,484.470001,486.049988,486.049988,3166800
