Date,Open,High,Low,Close,Adj Close,Volume
2022-11-29,57.270000,58.029999,57.270000,57.619999,57.089558,4289617
2022-11-30,58.470001,58.740002,57.856201,58.470001,57.931732,5377406
2022-12-01,58.689999,58.770000,57.910000,58.049999,57.515598,4084642
2022-12-02,57.720001,58.209999,57.485001,57.720001,57.188637,3510813
2022-12-05,58.770000,58.970001,57.105000,57.400002,56.871586,5917006
2022-12-06,57.520000,58.029999,56.509998,56.680000,56.158211,6428901
2022-12-07,56.959999,57.320000,56.349998,56.349998,55.831245,5444943
2022-12-08,57.209999,57.435001,56.369999,56.590000,56.069038,4571387
2022-12-09,56.270000,56.779999,55.610001,55.610001,55.098061,4283357
2022-12-12,56.060001,56.564999,55.880001,56.360001,55.841156,4491861
2022-12-13,57.369999,57.744999,57.150002,57.380001,56.851768,5091499
2022-12-14,57.380001,57.480000,56.540001,56.759998,56.237473,4325588
2022-12-15,56.759998,56.900002,55.779999,56.150002,55.633091,6087661
2022-12-16,54.939999,55.259998,54.400002,54.959999,54.454044,6956962
2022-12-19,56.240002,56.340000,55.290001,55.520000,55.008888,5096775
2022-12-20,55.980000,56.529999,55.779999,56.130001,55.613274,4430725
2022-12-21,57.240002,57.759998,56.720001,57.599998,57.069740,4917419
2022-12-22,57.459999,57.599998,55.970001,56.740002,56.217659,3748871
2022-12-23,57.160000,57.779999,56.955002,57.779999,57.248085,2572147
2022-12-27,57.849998,58.040001,57.590000,57.869999,57.337254,2395120
2022-12-28,57.930000,57.930000,56.389999,56.560001,56.039318,4140448
2022-12-29,56.889999,57.049999,56.669998,56.669998,56.148300,3415063
2022-12-30,56.480000,56.970001,56.459999,56.950001,56.425728,2068550
2023-01-03,57.470001,57.794998,55.939999,55.980000,55.464653,7766476
2023-01-04,55.810001,55.970001,55.130001,55.430000,54.919720,5712988
2023-01-05,54.990002,55.569698,54.970001,55.480000,54.969257,4266050
2023-01-06,56.119999,57.285000,56.040001,57.250000,56.722965,5845518
2023-01-09,58.160000,58.601002,57.700001,58.070000,57.535416,4939246
2023-01-10,57.950001,58.476898,57.689999,58.369999,57.832653,3475500
2023-01-11,58.730000,58.959999,58.320000,58.930000,58.387497,3113956
2023-01-12,59.130001,59.775002,58.689999,59.619999,59.071144,3942425
2023-01-13,59.590000,59.950001,59.410000,59.610001,59.061237,3619767
2023-01-17,59.630001,60.119999,59.244999,59.400002,58.853172,3301583
2023-01-18,60.020000,60.139999,58.325001,58.389999,57.852467,4893268
2023-01-19,58.349998,59.209999,58.154999,59.130001,58.585659,3563568
2023-01-20,58.490002,58.990002,58.154999,58.900002,58.357777,4272295
2023-01-23,58.365002,58.830002,58.349998,58.630001,58.090260,3219155
2023-01-24,51.259998,58.400002,56.259998,57.990002,57.456154,3125185
2023-01-25,57.779999,57.990002,57.279999,57.840000,57.307533,4033854
2023-01-26,58.230000,58.666000,57.639999,58.520000,57.981274,3815540
2023-01-27,58.939999,59.180000,58.400002,58.509998,57.971363,2599115
